p1,p1,freq,rela
14,18,14,live together
7,33,4,hotel
4,10,2,golf
4,32,2,golf
4,35,2,golf
4,31,1,golf
10,31,1,golf
10,32,2,golf
10,35,2,golf
31,32,1,golf
31,35,1,golf
33,35,2,golf
22,28,5,together
3,2,1,party
5,2,1,party
6,2,1,party
7,2,1,party
8,2,1,party
9,2,1,party
14,2,1,party
18,2,1,party
19,2,1,party
25,2,1,party
26,2,1,party
28,2,1,party
33,2,1,party
34,35,1,suspecious visiting/spy
33,35,1,suspecious visiting/spy
24,32,1,suspecious visiting/spy
24,4,1,suspecious visiting/spy
21,14,13,suspecious visiting/spy
21,18,13,suspecious visiting/spy
21,4,1,suspecious visiting/spy
21,35,1,suspecious visiting/spy
16,10,1,suspecious visiting/spy
16,35,1,suspecious visiting/spy
15,10,1,suspecious visiting/spy
15,35,1,suspecious visiting/spy
24,1,2,cccard
22,28,5,eat tgt
13,15,4,unclear activity
13,16,4,unclear activity
15,16,4,unclear activity
